N,repetition,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,27,0.48663101604278075,0.5112594057230735,0.4866310160427807,0.4699027362710227,0.5112594057230736,0.48663101604278075,0.46990273627102275
1,28,0.5508021390374331,0.5707983193277312,0.5508021390374331,0.5388500998144115,0.5707983193277311,0.5508021390374331,0.5388500998144113
1,29,0.6363636363636364,0.6994561474665281,0.6363636363636364,0.641264558745001,0.6994561474665282,0.6363636363636364,0.6412645587450011
3,0,0.5816993464052288,0.7007945971181265,0.5816993464052288,0.5882999892974318,0.7007945971181265,0.5816993464052288,0.5882999892974319
3,1,0.5947712418300654,0.7449165568730787,0.5947712418300655,0.5996097136235545,0.7449165568730786,0.5947712418300654,0.5996097136235544
3,2,0.6405228758169934,0.7146952720482131,0.6405228758169935,0.6478150402868907,0.7146952720482133,0.6405228758169934,0.6478150402868907
3,3,0.6405228758169934,0.7337444655281468,0.6405228758169935,0.6404349975284231,0.7337444655281468,0.6405228758169934,0.6404349975284231
3,4,0.6535947712418301,0.7515535292131038,0.6535947712418301,0.6584561500742524,0.7515535292131037,0.6535947712418301,0.6584561500742524
3,5,0.5686274509803921,0.6816993464052288,0.5686274509803922,0.5844140784042442,0.6816993464052288,0.5686274509803921,0.5844140784042441
3,6,0.6013071895424836,0.7085232577879637,0.6013071895424837,0.5977218358963812,0.7085232577879637,0.6013071895424836,0.5977218358963813
3,7,0.6339869281045751,0.7240514691267085,0.6339869281045752,0.6319200488295371,0.7240514691267085,0.6339869281045751,0.6319200488295371
3,8,0.5686274509803921,0.7197185325743201,0.568627450980392,0.546649941886039,0.7197185325743201,0.5686274509803921,0.546649941886039
3,9,0.6078431372549019,0.692531468915552,0.607843137254902,0.5957218275791356,0.692531468915552,0.6078431372549019,0.5957218275791356
3,10,0.6143790849673203,0.7704820261437909,0.6143790849673204,0.636779955266226,0.7704820261437908,0.6143790849673203,0.636779955266226
3,11,0.6470588235294118,0.7867854079791796,0.6470588235294118,0.6652890842337209,0.7867854079791796,0.6470588235294118,0.6652890842337209
3,12,0.5294117647058824,0.6201171377641966,0.5294117647058824,0.5135955076582261,0.6201171377641966,0.5294117647058824,0.513595507658226
3,13,0.6405228758169934,0.6948340101590876,0.6405228758169935,0.6485496913697606,0.6948340101590875,0.6405228758169934,0.6485496913697605
3,14,0.6143790849673203,0.7512565865507043,0.6143790849673204,0.6287952717743989,0.7512565865507042,0.6143790849673203,0.6287952717743989
3,15,0.6143790849673203,0.6662462024979124,0.6143790849673203,0.6120252547212078,0.6662462024979124,0.6143790849673203,0.6120252547212077
3,16,0.5620915032679739,0.6394601615349697,0.5620915032679739,0.5624806000396767,0.6394601615349698,0.5620915032679739,0.5624806000396768
